记录时间：2018-12-15 10:20:14,445 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：程序启动
记录时间：2018-12-15 10:27:52,054 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:52:Begin-------------

记录时间：2018-12-15 10:27:54,544 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:54:End-------------

记录时间：2018-12-15 10:27:57,544 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:57:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:27:57,544 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:27:57:Begin-------------

记录时间：2018-12-15 10:28:00,046 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:28:00:End-------------

记录时间：2018-12-15 10:28:03,046 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:28:03:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:28:03,046 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:28:03:Begin-------------

记录时间：2018-12-15 10:28:05,548 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:28:05:End-------------

记录时间：2018-12-15 10:28:08,548 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:28:08:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:28:08,548 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:28:08:Begin-------------

记录时间：2018-12-15 10:28:11,050 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:28:11:End-------------

记录时间：2018-12-15 10:28:14,050 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:28:14:没有设备可以抓取,回到原点

记录时间：2018-12-15 10:28:14,050 线程ID:[9] 日志级别：ERROR 类：Log property:[(null)] - 描述：2018/12/15 10:28:14:Begin-------------

